id,left,top,right,bottom,width,height,string_id,decoded_name,name_reference_in_section,elevation_flags,empty_rectangle
1,352,192,384,224,32,32,45302,,False,0,False
2,416,384,448,416,32,32,44779,,False,0,False
3,128,448,160,480,32,32,5506,潔彭鍍독遮� 말을 했었던 26탄에 답이 있네요,True,0,False
4,192,256,224,288,32,32,49299,,False,0,False
5,672,96,704,128,32,32,39189,,False,0,False
6,800,96,832,128,32,32,45257,,False,0,False
7,928,96,960,128,32,32,20826,,False,0,False
8,992,96,1024,128,32,32,51793,,False,0,False
9,64,64,544,544,480,480,42208,,False,0,False
10,576,256,640,352,64,96,39914,,False,0,False
11,1152,256,1216,352,64,96,10801,,False,0,False
12,1216,64,1248,96,32,32,36909,,False,0,False
13,1664,64,1696,96,32,32,48745,,False,0,False
14,1216,512,1248,544,32,32,30946,,False,0,False
15,1664,512,1696,544,32,32,43858,,False,0,False
16,1728,256,1792,352,64,96,42458,,False,0,False
17,6048,5984,6144,6080,96,96,46329,,False,0,False
18,3008,3456,3104,3616,96,160,40770,,False,0,False
19,3104,3456,3200,3616,96,160,26307,,False,0,False
20,640,64,1120,544,480,480,39810,,False,0,False
21,1216,64,1696,544,480,480,30734,,False,0,False
22,2016,288,2048,320,32,32,18575,,False,0,False
23,1792,64,2272,544,480,480,8257,,False,0,False
24,2304,256,2368,352,64,96,32969,,False,0,False
25,2368,64,2848,544,480,480,12901,,False,0,False
26,2944,64,3424,544,480,480,33610,,False,0,False
27,2880,256,2944,352,64,96,55359,,False,0,False
28,3456,256,3520,352,64,96,18376,,False,0,False
29,2816,64,2848,96,32,32,17642,,False,0,False
30,2976,3424,3232,3648,256,224,34279,,False,0,False
31,2432,128,2464,160,32,32,14058,,False,0,False
32,2304,0,2848,64,544,64,34835,,False,0,False
33,2304,64,2368,608,64,544,8650,,False,0,False
34,2368,544,2912,608,544,64,25046,,False,0,False
35,2848,0,2912,544,64,544,55082,,False,0,False
36,2784,480,2848,544,64,64,41396,,False,0,False
37,3936,160,4000,224,64,64,34658,,False,0,False
38,3648,480,3712,544,64,64,38527,,False,0,False
39,3776,224,3840,288,64,64,29079,,False,0,False
40,3616,96,3680,160,64,64,49199,,False,0,False
41,3520,64,4000,544,480,480,39758,,False,0,False
42,4032,256,4096,352,64,96,33855,,False,0,False
43,4608,256,4672,352,64,96,59272,,False,0,False
44,5184,256,5248,352,64,96,48509,,False,0,False
45,5440,576,5536,640,96,64,25949,,False,0,False
46,5152,832,5216,928,64,96,16237,,False,0,False
47,4576,832,4640,928,64,96,44555,,False,0,False
48,4000,832,4064,928,64,96,25876,,False,0,False
49,3424,832,3488,928,64,96,43672,,False,0,False
50,2848,832,2912,928,64,96,50008,,False,0,False
51,2272,832,2336,928,64,96,39139,,False,0,False
52,1696,832,1760,928,64,96,38618,,False,0,False
53,1120,832,1184,928,64,96,43072,,False,0,False
54,544,832,608,928,64,96,34119,,False,0,False
55,256,1152,352,1216,96,64,34189,,False,0,False
56,576,1408,640,1504,64,96,51764,,False,0,False
57,1152,1408,1216,1504,64,96,11981,,False,0,False
58,1728,1408,1792,1504,64,96,26488,,False,0,False
59,2304,1408,2368,1504,64,96,58942,,False,0,False
60,2880,1408,2944,1504,64,96,61694,,False,0,False
61,3456,1408,3520,1504,64,96,7409,,False,0,False
62,4032,1408,4096,1504,64,96,35876,,False,0,False
63,4608,1408,4672,1504,64,96,44259,,False,0,False
64,0,0,6144,6144,6144,6144,14986,,False,0,False
65,5184,1408,5248,1504,64,96,14997,,False,0,False
66,5440,1728,5536,1792,96,64,34934,,False,0,False
67,5152,1984,5216,2080,64,96,5664,,True,0,False
68,4576,1984,4640,2080,64,96,46754,,False,0,False
69,4000,1984,4064,2080,64,96,29655,,False,0,False
70,3424,1984,3488,2080,64,96,30616,,False,0,False
71,2848,1984,2912,2080,64,96,21587,,False,0,False
72,2272,1984,2336,2080,64,96,55434,,False,0,False
73,1696,1984,1760,2080,64,96,29715,,False,0,False
74,1120,1984,1184,2080,64,96,60839,,False,0,False
75,544,1984,608,2080,64,96,39567,,False,0,False
76,256,2304,352,2368,96,64,23034,,False,0,False
77,576,2560,640,2656,64,96,41176,,False,0,False
78,1152,2560,1216,2656,64,96,51898,,False,0,False
79,1728,2560,1792,2656,64,96,34723,,False,0,False
80,2304,2560,2368,2656,64,96,32296,,False,0,False
81,2880,2560,2944,2656,64,96,29935,,False,0,False
82,3456,2560,3520,2656,64,96,28129,,False,0,False
83,4032,2560,4096,2656,64,96,28946,,False,0,False
84,4608,2560,4672,2656,64,96,13501,,False,0,False
85,5184,2560,5248,2656,64,96,15192,,False,0,False
86,4480,448,4576,544,96,96,18465,,False,0,False
87,4480,64,4576,160,96,96,36377,,False,0,False
88,4096,64,4576,544,480,480,7388,,False,0,False
89,4800,192,4864,256,64,64,43598,,False,0,False
90,2592,3840,3584,4096,992,256,20347,,False,0,False
91,4928,192,4992,256,64,64,33453,,False,0,False
92,4992,448,5056,512,64,64,59425,,False,0,False
93,4736,64,4800,128,64,64,56896,,False,0,False
94,4672,64,5152,544,480,480,53730,,False,0,False
95,5248,64,5728,544,480,480,19067,,False,0,False
96,4864,896,4928,960,64,64,7581,,False,0,False
97,4480,1024,4576,1120,96,96,46295,,False,0,False
98,5248,640,5728,1120,480,480,10313,,False,0,False
99,4672,640,5152,1120,480,480,33767,,False,0,False
100,4480,640,4576,736,96,96,48347,,False,0,False
101,4096,640,4576,1120,480,480,34804,,False,0,False
102,3520,640,4000,1120,480,480,51604,,False,0,False
103,3168,1088,3200,1120,32,32,39695,,False,0,False
104,3168,640,3200,672,32,32,49374,,False,0,False
105,2944,640,3424,1120,480,480,51375,,False,0,False
106,2944,640,3168,1120,224,480,15779,,False,0,False
107,3200,640,3424,1120,224,480,21703,,False,0,False
108,2368,640,2848,1120,480,480,33570,,False,0,False
109,96,1056,512,1088,416,32,31322,,False,0,False
110,96,928,512,960,416,32,28748,,False,0,False
111,96,800,512,832,416,32,47515,,False,0,False
112,96,672,512,704,416,32,32408,,False,0,False
113,2080,864,2112,896,32,32,3453,,True,0,False
114,2080,672,2112,704,32,32,25694,,False,0,False
115,2016,800,2048,832,32,32,24784,,False,0,False
116,2208,672,2240,704,32,32,62124,,False,0,False
117,1792,640,2272,1120,480,480,6872,,False,0,False
118,1216,704,1248,736,32,32,50848,,False,0,False
119,1664,704,1696,736,32,32,39780,,False,0,False
120,1216,640,1696,1120,480,480,26175,,False,0,False
121,1408,768,1504,864,96,96,32358,,False,0,False
122,640,640,1120,1120,480,480,57552,,False,0,False
123,672,672,704,704,32,32,32523,,False,0,False
124,1056,672,1088,704,32,32,35503,,False,0,False
125,1056,768,1088,800,32,32,21078,,False,0,False
126,896,768,928,800,32,32,27813,,False,0,False
127,896,960,928,992,32,32,20786,,False,0,False
128,736,960,768,992,32,32,32458,,False,0,False
129,736,864,768,896,32,32,18961,,False,0,False
130,64,640,544,1120,480,480,18127,,False,0,False
131,160,1248,224,1312,64,64,53758,,False,0,False
132,288,1408,352,1472,64,64,29152,,False,0,False
133,384,1504,448,1568,64,64,27959,,False,0,False
134,128,1568,192,1632,64,64,33268,,False,0,False
135,64,1216,544,1696,480,480,26442,,False,0,False
136,768,1216,832,1280,64,64,42671,,False,0,False
137,896,1280,960,1344,64,64,45731,,False,0,False
138,960,1408,1024,1472,64,64,55731,,False,0,False
139,960,1536,1024,1600,64,64,42925,,False,0,False
140,640,1216,1120,1696,480,480,54901,,False,0,False
141,1600,1600,1696,1696,96,96,31588,,False,0,False
142,1600,1216,1696,1312,96,96,34208,,False,0,False
143,1216,1216,1696,1696,480,480,50546,,False,0,False
144,2176,1216,2272,1312,96,96,29668,,False,0,False
145,2176,1600,2272,1696,96,96,28099,,False,0,False
146,1792,1216,2272,1696,480,480,27726,,False,0,False
147,2368,1216,2848,1696,480,480,22943,,False,0,False
148,2560,1408,2656,1504,96,96,20006,,False,0,False
149,2944,1216,3424,1696,480,480,45120,,False,0,False
150,2944,1216,3040,1312,96,96,13889,,False,0,False
151,3520,1216,4000,1696,480,480,36591,,False,0,False
152,4096,1216,4576,1696,480,480,37854,,False,0,False
153,4544,1728,4576,1760,32,32,33942,,False,0,False
154,4672,1216,5152,1696,480,480,49401,,False,0,False
155,3136,1600,3232,1696,96,96,44250,,False,0,False
156,5248,1216,5728,1696,480,480,13863,,False,0,False
157,5504,1440,5536,1472,32,32,17075,,False,0,False
158,5536,1440,5568,1472,32,32,29165,,False,0,False
159,5568,1440,5600,1472,32,32,33417,,False,0,False
160,5600,1440,5632,1472,32,32,11156,,False,0,False
161,5632,1792,5728,1888,96,96,13250,,False,0,False
162,5632,2176,5728,2272,96,96,27018,,False,0,False
163,5248,1792,5728,2272,480,480,45539,,False,0,False
164,5056,2176,5152,2272,96,96,37679,,False,0,False
165,5056,1792,5152,1888,96,96,19747,,False,0,False
166,4672,1792,5152,2272,480,480,5688,,True,0,False
167,4480,1792,4576,1888,96,96,23173,,False,0,False
168,4480,2176,4576,2272,96,96,14204,,False,0,False
169,4096,1792,4576,2272,480,480,19311,,False,0,False
170,3904,1792,4000,1888,96,96,10069,,False,0,False
171,3904,2176,4000,2272,96,96,42179,,False,0,False
172,3520,1792,4000,2272,480,480,29044,,False,0,False
173,3328,1792,3424,1888,96,96,44406,,False,0,False
174,3328,2176,3424,2272,96,96,24633,,False,0,False
175,2944,1792,3424,2272,480,480,44200,,False,0,False
176,2752,1792,2848,1888,96,96,27532,,False,0,False
177,2752,2176,2848,2272,96,96,3904,��P,True,0,False
178,2368,1792,2848,2272,480,480,19250,,False,0,False
179,2176,1792,2272,1888,96,96,52476,,False,0,False
180,2176,2176,2272,2272,96,96,17579,,False,0,False
181,1792,1792,2272,2272,480,480,25872,,False,0,False
182,1408,2176,1440,2208,32,32,19590,,False,0,False
183,1440,1856,1472,1888,32,32,51770,,False,0,False
184,1504,2176,1536,2208,32,32,37689,,False,0,False
