index,serial,x,y,unit_id,unit_name,owner_id,owner_name,hitpoints_percent,shields_percent,energy_percent,resources,hangar_count,state_flags,valid_state_flags,valid_property_flags,relation_class,related_serial,unused
1,63641944,592,288,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
2,63642032,592,320,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
3,63642120,1168,288,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
4,63642208,1168,320,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
5,63642296,1744,288,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
6,63642384,1744,320,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
7,63642472,2320,288,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
8,63642560,2320,320,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
9,63642648,2896,288,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
10,63642736,2896,320,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
11,63642824,3472,288,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
12,63642912,3472,320,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
13,63643000,4048,288,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
14,63643088,4048,320,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
15,63643176,4624,288,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
16,63643264,4624,320,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
17,63643352,5200,288,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
18,63643440,5200,320,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
19,63643528,304,1152,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
20,63643616,304,1184,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
21,63643704,592,864,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
22,63643792,592,896,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,3,0,0,0
23,63643880,304,2304,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
24,63643968,304,2336,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
25,63644056,592,1440,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
26,63644144,592,1472,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
27,63644232,592,2016,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
28,63644320,592,2048,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
29,63644408,592,2592,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
30,63644496,592,2624,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
31,63644584,1168,2592,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
32,63644672,1168,2624,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
33,63644760,1744,2592,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
34,63098256,1744,2624,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
35,63098344,2320,2592,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
36,63098432,2320,2624,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
37,63098520,2896,2592,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
38,63098608,2896,2624,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
39,63098696,3472,2592,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
40,63098784,3472,2624,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
41,63098872,4048,2592,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
42,63098960,4048,2624,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
43,63099048,4624,2592,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
44,63099136,4624,2624,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
45,63099224,5200,2592,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
46,63099312,5200,2624,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
47,63099400,5200,2016,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
48,63099488,5200,2048,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
49,63099576,4624,2016,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
50,63099664,4624,2048,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
51,63099752,5488,1728,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
52,63099840,5488,1760,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
53,63099928,4048,2016,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
54,63100016,4048,2048,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
55,63100104,3472,2016,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
56,63100192,3472,2048,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
57,63100280,2896,2016,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
58,63100368,2896,2048,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
59,63100456,2320,2016,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
60,63100544,2320,2048,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
61,63100632,4624,1440,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
62,63100720,4624,1472,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
63,63100808,4048,1440,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
64,63100896,4048,1472,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
65,63100984,5200,1440,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
66,63101072,5200,1472,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
67,63101160,3472,1440,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
68,63101248,3472,1472,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
69,63101336,2896,1440,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
70,63101424,2896,1472,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
71,63101512,2320,1440,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
72,63101600,2320,1472,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
73,63101688,1744,2016,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
74,63101776,1744,2048,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
75,63101864,1744,1440,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
76,63101952,1744,1472,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
77,63102040,1168,2016,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
78,63102128,1168,2048,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
79,63102216,1168,1440,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
80,63102352,1168,1472,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
81,63102440,1168,864,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,0,24,2,0,0,0
82,63102528,1168,896,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,0,24,2,0,0,0
83,63102616,1744,864,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
84,63102704,1744,896,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
85,63102792,2320,864,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
86,63102880,2320,896,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
87,63102968,2896,864,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
88,63103056,2896,896,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
89,63103144,3472,864,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
90,63103232,3472,896,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
91,63103320,4048,864,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
92,63103408,4048,896,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
93,63103496,4624,864,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
94,63103584,4624,896,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
95,63103672,5200,864,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
96,63103760,5200,896,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
97,63103848,5488,576,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
98,63103936,5488,608,109,Terran Supply Depot,11,Player 12,100,100,100,0,0,16,24,2,0,0,0
99,63104024,96,96,37,Zerg Zergling,11,Player 12,100,100,100,0,0,16,26,2,0,0,0
100,63104112,160,96,37,Zerg Zergling,11,Player 12,100,100,100,0,0,16,26,2,0,0,0
101,63104200,224,96,37,Zerg Zergling,11,Player 12,100,100,100,0,0,16,26,2,0,0,0
102,63104288,288,96,37,Zerg Zergling,11,Player 12,100,100,100,0,0,16,26,2,0,0,0
